Sample_ID,Window_ID,Timestamp_s,AccX_g,AccY_g,AccZ_g,Activity
42,W00001,2.05,0.0778,0.0872,0.9295,Standing
43,W00001,2.1,0.089,0.1572,0.9362,Standing
44,W00001,2.15,0.0019,0.1164,0.9565,Standing
45,W00001,2.2,-0.0411,0.0812,0.9242,Standing
46,W00001,2.25,0.0581,0.0786,0.9653,Standing
47,W00001,2.3,0.0466,0.0684,1.002,Standing
48,W00001,2.35,0.0985,0.1073,0.9782,Standing
49,W00001,2.4,0.0512,0.1096,1.0254,Standing
50,W00001,2.45,0.0516,0.0564,0.9435,Standing
51,W00002,0.0,0.8042,0.0627,0.3073,Resting
52,W00002,0.05,0.8505,0.1133,0.3501,Resting
53,W00002,0.1,0.8595,0.0885,0.3718,Resting
54,W00002,0.15,0.855,0.0985,0.3438,Resting
55,W00002,0.2,0.8168,0.0803,0.3323,Resting
56,W00002,0.25,0.8437,0.0736,0.3488,Resting
57,W00002,0.3,0.8728,0.081,0.3326,Resting
58,W00002,0.35,0.8057,0.0975,0.3555,Resting
59,W00002,0.4,0.8453,0.0912,0.3425,Resting
60,W00002,0.45,0.8582,0.1017,0.3707,Resting
61,W00002,0.5,0.8221,0.1173,0.3529,Resting
62,W00002,0.55,0.8479,0.0744,0.3285,Resting
63,W00002,0.6,0.815,0.0729,0.3552,Resting
64,W00002,0.65,0.8204,0.0921,0.3619,Resting
65,W00002,0.7,0.8205,0.0916,0.332,Resting
66,W00002,0.75,0.8409,0.0734,0.3349,Resting
67,W00002,0.8,0.8355,0.0862,0.2975,Resting
68,W00002,0.85,0.8567,0.0846,0.3618,Resting
69,W00002,0.9,0.8191,0.088,0.3321,Resting
70,W00002,0.95,0.8356,0.0919,0.3016,Resting
71,W00002,1.0,0.8577,0.1084,0.3088,Resting
72,W00002,1.05,0.8501,0.0471,0.3399,Resting
73,W00002,1.1,0.8127,0.0629,0.3597,Resting
74,W00002,1.15,0.8529,0.1253,0.3429,Resting
75,W00002,1.2,0.8304,0.0951,0.3543,Resting
76,W00002,1.25,0.848,0.0952,0.3231,Resting
77,W00002,1.3,0.8467,0.1016,0.3185,Resting
78,W00002,1.35,0.8655,0.1074,0.3632,Resting
79,W00002,1.4,0.8439,0.0885,0.3555,Resting
80,W00002,1.45,0.8049,0.083,0.3453,Resting
81,W00002,1.5,0.815,0.1202,0.3718,Resting
82,W00002,1.55,0.8575,0.0247,0.3273,Resting
83,W00002,1.6,0.8381,0.0854,0.3382,Resting
84,W00002,1.65,0.8665,0.1086,0.3674,Resting
85,W00002,1.7,0.8497,0.0733,0.3838,Resting
86,W00002,1.75,0.8297,0.1263,0.3475,Resting
87,W00002,1.8,0.8669,0.0836,0.3812,Resting
88,W00002,1.85,0.8295,0.109,0.3358,Resting
89,W00002,1.9,0.8051,0.0783,0.3547,Resting
90,W00002,1.95,0.888,0.0967,0.3448,Resting
91,W00002,2.0,0.809,0.1118,0.3168,Resting
92,W00002,2.05,0.8604,0.0921,0.354,Resting
93,W00002,2.1,0.867,0.0875,0.3678,Resting
94,W00002,2.15,0.8517,0.0998,0.3464,Resting
95,W00002,2.2,0.8156,0.0806,0.3482,Resting
96,W00002,2.25,0.8701,0.1097,0.3777,Resting
97,W00002,2.3,0.8215,0.108,0.3252,Resting
98,W00002,2.35,0.8239,0.0978,0.3205,Resting
99,W00002,2.4,0.8441,0.1437,0.3376,Resting
100,W00002,2.45,0.8676,0.0975,0.327,Resting
101,W00003,0.0,0.1215,0.0924,0.7302,Running
102,W00003,0.05,0.2706,0.2353,1.1348,Running
103,W00003,0.1,0.7931,0.374,1.1664,Running
104,W00003,0.15,0.2758,0.2867,0.8494,Running
105,W00003,0.2,-0.1366,-0.0385,0.3888,Running
106,W00003,0.25,-0.3153,-0.2936,0.6373,Running
107,W00003,0.3,0.1023,0.281,0.7638,Running
108,W00003,0.35,0.542,0.1152,1.1254,Running
109,W00003,0.4,0.4283,0.3793,1.0093,Running
110,W00003,0.45,-0.13,0.4725,1.153,Running
111,W00003,0.5,-0.166,0.0422,0.6343,Running
112,W00003,0.55,-0.1184,-0.1388,0.4398,Running
113,W00003,0.6,-0.0493,-0.0236,0.7919,Running
114,W00003,0.65,0.2629,0.5315,1.0242,Running
115,W00003,0.7,0.4326,0.3572,1.2172,Running
116,W00003,0.75,0.0696,0.2842,0.8447,Running
117,W00003,0.8,-0.3748,0.1823,0.466,Running
118,W00003,0.85,-0.2771,0.0335,0.5832,Running
119,W00003,0.9,-0.0744,0.1517,1.052,Running
120,W00003,0.95,0.5383,0.2151,1.304,Running
121,W00003,1.0,0.594,-0.1038,1.2354,Running
122,W00003,1.05,0.1693,-0.027,0.9541,Running
123,W00003,1.1,-0.2491,0.0317,0.5665,Running
124,W00003,1.15,-0.3909,0.0157,0.3521,Running
125,W00003,1.2,-0.0323,0.261,0.6949,Running
126,W00003,1.25,0.7267,0.3395,1.2664,Running
127,W00003,1.3,0.3716,0.3812,1.2263,Running
128,W00003,1.35,-0.0397,0.3164,1.0063,Running
129,W00003,1.4,-0.1315,-0.0918,0.6055,Running
130,W00003,1.45,-0.2358,0.0002,0.8036,Running
131,W00003,1.5,0.0435,-0.0381,0.6955,Running
132,W00003,1.55,0.7432,0.5056,1.1847,Running
133,W00003,1.6,0.5132,0.3618,1.3346,Running
134,W00003,1.65,0.4256,0.2692,0.7558,Running
135,W00003,1.7,-0.5308,0.2711,0.8369,Running
136,W00003,1.75,-0.1172,0.2065,0.5894,Running
137,W00003,1.8,0.2129,0.1965,0.8902,Running
138,W00003,1.85,0.4943,0.479,0.9433,Running
139,W00003,1.9,0.5677,0.14,1.3508,Running
140,W00003,1.95,0.2096,0.2584,0.8971,Running
141,W00003,2.0,-0.1949,0.0594,0.2918,Running
142,W00003,2.05,-0.3414,-0.1969,0.6532,Running
143,W00003,2.1,0.058,0.4085,1.0602,Running
144,W00003,2.15,0.4627,0.2564,1.0637,Running
145,W00003,2.2,0.374,0.4559,1.0765,Running
146,W00003,2.25,0.1043,0.1278,0.9217,Running
147,W00003,2.3,-0.0934,0.1864,0.8339,Running
148,W00003,2.35,-0.2723,0.2441,0.6741,Running
149,W00003,2.4,0.343,0.0859,1.0513,Running
150,W00003,2.45,0.6604,0.1336,1.4258,Running
151,W00004,0.0,0.3317,-0.5661,0.744,Abnormal Movement
152,W00004,0.05,-0.7718,0.7413,1.0065,Abnormal Movement
153,W00004,0.1,-0.0668,0.315,0.4903,Abnormal Movement
154,W00004,0.15,-0.6898,0.369,0.1092,Abnormal Movement
155,W00004,0.2,0.2775,0.125,0.3912,Abnormal Movement
156,W00004,0.25,0.2652,0.2647,0.2448,Abnormal Movement
157,W00004,0.3,-0.1616,-0.0226,1.3546,Abnormal Movement
158,W00004,0.35,0.4886,0.3437,0.9434,Abnormal Movement
159,W00004,0.4,-0.0446,-0.0344,1.1496,Abnormal Movement
160,W00004,0.45,-0.0285,0.1486,0.759,Abnormal Movement
161,W00004,0.5,0.1128,0.5117,0.4149,Abnormal Movement
162,W00004,0.55,0.4031,1.6474,1.2302,Abnormal Movement
163,W00004,0.6,0.4028,0.1583,1.4779,Abnormal Movement
164,W00004,0.65,0.6789,0.9171,1.0189,Abnormal Movement
165,W00004,0.7,0.3693,0.2438,0.7602,Abnormal Movement
166,W00004,0.75,1.0001,-0.0592,1.2613,Abnormal Movement
167,W00004,0.8,1.0982,0.3491,0.6013,Abnormal Movement
168,W00004,0.85,0.3722,0.278,1.0957,Abnormal Movement
169,W00004,0.9,-0.1139,0.0979,0.4057,Abnormal Movement
170,W00004,0.95,0.7674,0.3764,0.256,Abnormal Movement
171,W00004,1.0,0.8529,0.2698,0.9088,Abnormal Movement
172,W00004,1.05,0.1576,0.3342,0.764,Abnormal Movement
173,W00004,1.1,-0.4592,0.5519,1.4262,Abnormal Movement
174,W00004,1.15,0.1333,-0.1125,0.4023,Abnormal Movement
175,W00004,1.2,0.6039,-0.1055,0.5023,Abnormal Movement
176,W00004,1.25,-1.005,-0.3295,-0.0513,Abnormal Movement
177,W00004,1.3,-0.0026,-0.1422,-0.4014,Abnormal Movement
178,W00004,1.35,-0.3909,0.0948,-0.3739,Abnormal Movement
179,W00004,1.4,-0.64,0.9403,0.6339,Abnormal Movement
180,W00004,1.45,-0.0088,0.205,-0.0956,Abnormal Movement
181,W00004,1.5,-0.7697,-0.2548,0.9593,Abnormal Movement
182,W00004,1.55,0.0192,-0.4212,1.1194,Abnormal Movement
183,W00004,1.6,0.5662,1.0885,0.3853,Abnormal Movement
184,W00004,1.65,0.1577,0.7006,1.2996,Abnormal Movement
185,W00004,1.7,-0.2059,0.0646,0.6978,Abnormal Movement
186,W00004,1.75,-0.5012,-0.2625,1.1444,Abnormal Movement
187,W00004,1.8,-0.1724,0.004,0.5769,Abnormal Movement
188,W00004,1.85,-0.3312,0.601,1.1457,Abnormal Movement
189,W00004,1.9,1.2922,0.9595,0.3183,Abnormal Movement
190,W00004,1.95,0.5129,-0.8934,1.0433,Abnormal Movement
191,W00004,2.0,0.1823,1.1058,0.567,Abnormal Movement
192,W00004,2.05,0.0689,0.7093,0.715,Abnormal Movement
193,W00004,2.1,0.1462,0.6771,1.0478,Abnormal Movement
194,W00004,2.15,0.4232,0.7944,0.8213,Abnormal Movement
195,W00004,2.2,-0.0773,0.4117,0.6815,Abnormal Movement
196,W00004,2.25,1.1619,0.355,1.0071,Abnormal Movement
197,W00004,2.3,-0.0335,0.6794,1.0009,Abnormal Movement
198,W00004,2.35,-0.1603,-0.0345,-0.0264,Abnormal Movement
199,W00004,2.4,0.22,-0.6167,0.8061,Abnormal Movement
200,W00004,2.45,0.6309,0.1675,0.8169,Abnormal Movement
201,W00005,0.0,0.0313,0.1236,0.9345,Standing
202,W00005,0.05,0.0343,0.0489,0.9126,Standing
203,W00005,0.1,0.0715,0.0881,0.9957,Standing
204,W00005,0.15,0.0308,0.1264,0.9498,Standing
205,W00005,0.2,0.0532,0.1339,1.0038,Standing
206,W00005,0.25,0.0046,0.0915,0.9987,Standing
207,W00005,0.3,0.0204,0.0329,0.9537,Standing
208,W00005,0.35,-0.0023,0.0819,0.9587,Standing
209,W00005,0.4,0.0356,0.0741,0.9991,Standing
210,W00005,0.45,0.0756,0.122,0.9817,Standing
211,W00005,0.5,0.0544,0.0855,0.9868,Standing
212,W00005,0.55,0.0774,0.081,0.931,Standing
213,W00005,0.6,0.0232,0.0815,1.009,Standing
214,W00005,0.65,0.0304,0.1124,0.9573,Standing
215,W00005,0.7,0.0455,0.0584,0.9169,Standing
216,W00005,0.75,0.0789,0.0975,0.9676,Standing
217,W00005,0.8,0.0741,0.0734,0.9996,Standing
218,W00005,0.85,0.064,0.1117,1.0505,Standing
219,W00005,0.9,0.0836,0.0747,0.9766,Standing
220,W00005,0.95,0.0602,0.0667,0.9478,Standing
221,W00005,1.0,0.0633,0.1523,1.051,Standing
222,W00005,1.05,0.1016,0.125,0.9913,Standing
223,W00005,1.1,0.0429,0.1104,0.9776,Standing
224,W00005,1.15,0.0635,0.0915,0.9519,Standing
225,W00005,1.2,0.1036,0.1186,0.9526,Standing
226,W00005,1.25,0.0552,0.1183,1.0255,Standing
227,W00005,1.3,0.0702,0.1377,0.9714,Standing
228,W00005,1.35,0.0277,0.0906,0.9617,Standing
229,W00005,1.4,0.1017,0.0563,0.9611,Standing
230,W00005,1.45,-0.0271,0.1011,1.022,Standing
231,W00005,1.5,0.0042,0.1147,0.9562,Standing
232,W00005,1.55,0.005,0.045,0.9918,Standing
233,W00005,1.6,0.0841,0.1339,0.9804,Standing
234,W00005,1.65,0.0456,0.0995,0.9794,Standing
235,W00005,1.7,0.0274,0.0647,0.946,Standing
236,W00005,1.75,-0.0023,0.1136,0.9925,Standing
237,W00005,1.8,0.0485,0.1343,1.0218,Standing
238,W00005,1.85,0.043,0.0796,0.973,Standing
239,W00005,1.9,0.0213,0.0505,0.9483,Standing
240,W00005,1.95,0.0002,0.0905,0.9386,Standing
241,W00005,2.0,0.0149,0.0965,0.9847,Standing
242,W00005,2.05,0.0575,0.1219,0.9724,Standing
243,W00005,2.1,0.0635,0.1056,0.979,Standing
244,W00005,2.15,0.0593,0.045,0.984,Standing
245,W00005,2.2,0.0551,0.073,0.9408,Standing
246,W00005,2.25,0.0088,0.0784,1.0096,Standing
247,W00005,2.3,0.0649,0.1401,0.9941,Standing
248,W00005,2.35,0.0336,0.1256,0.9853,Standing
249,W00005,2.4,0.0662,0.0733,0.9948,Standing
250,W00005,2.45,0.0787,0.0983,1.0155,Standing
251,W00006,0.0,0.8367,0.0985,0.3188,Resting
252,W00006,0.05,0.8647,0.1291,0.327,Resting
253,W00006,0.1,0.8284,0.1355,0.3596,Resting
254,W00006,0.15,0.8419,0.0631,0.3854,Resting
255,W00006,0.2,0.8588,0.1109,0.3577,Resting
256,W00006,0.25,0.8462,0.1355,0.3484,Resting
257,W00006,0.3,0.8626,0.0853,0.339,Resting
258,W00006,0.35,0.8318,0.101,0.3182,Resting
259,W00006,0.4,0.8235,0.1257,0.3333,Resting
260,W00006,0.45,0.8454,0.0854,0.3681,Resting
261,W00006,0.5,0.8509,0.1039,0.3506,Resting
262,W00006,0.55,0.8487,0.0934,0.366,Resting
263,W00006,0.6,0.8456,0.0557,0.3596,Resting
264,W00006,0.65,0.8099,0.1009,0.322,Resting
265,W00006,0.7,0.8391,0.09,0.372,Resting
266,W00006,0.75,0.8412,0.1119,0.3669,Resting
267,W00006,0.8,0.8716,0.135,0.3173,Resting
268,W00006,0.85,0.8795,0.1065,0.309,Resting
269,W00006,0.9,0.8531,0.0852,0.3463,Resting
270,W00006,0.95,0.813,0.1013,0.3403,Resting
271,W00006,1.0,0.8584,0.0961,0.3457,Resting
272,W00006,1.05,0.8318,0.1123,0.3459,Resting
273,W00006,1.1,0.8509,0.0629,0.3547,Resting
274,W00006,1.15,0.828,0.0681,0.3305,Resting
275,W00006,1.2,0.8664,0.0504,0.31,Resting
276,W00006,1.25,0.8525,0.1032,0.3822,Resting
277,W00006,1.3,0.8318,0.0905,0.335,Resting
278,W00006,1.35,0.8705,0.078,0.361,Resting
279,W00006,1.4,0.7987,0.0761,0.3483,Resting
280,W00006,1.45,0.8211,0.079,0.3177,Resting
281,W00006,1.5,0.8119,0.0718,0.3532,Resting
282,W00006,1.55,0.8432,0.0838,0.3335,Resting
283,W00006,1.6,0.839,0.0803,0.3643,Resting
284,W00006,1.65,0.8004,0.1179,0.3435,Resting
285,W00006,1.7,0.8339,0.0965,0.353,Resting
286,W00006,1.75,0.8491,0.0736,0.3694,Resting
287,W00006,1.8,0.8577,0.0783,0.3213,Resting
288,W00006,1.85,0.7988,0.1139,0.3635,Resting
289,W00006,1.9,0.8109,0.0989,0.3425,Resting
290,W00006,1.95,0.8673,0.0958,0.3444,Resting
291,W00006,2.0,0.8343,0.1043,0.3409,Resting
292,W00006,2.05,0.8301,0.1217,0.3577,Resting
293,W00006,2.1,0.86,0.0656,0.3492,Resting
294,W00006,2.15,0.8546,0.0751,0.3752,Resting
295,W00006,2.2,0.8084,0.0553,0.349,Resting
296,W00006,2.25,0.8396,0.1001,0.3405,Resting
297,W00006,2.3,0.8305,0.0827,0.3679,Resting
298,W00006,2.35,0.8493,0.077,0.3683,Resting
299,W00006,2.4,0.8271,0.0753,0.3683,Resting
300,W00006,2.45,0.8487,0.1045,0.3705,Resting
301,W00007,0.0,0.8872,0.1047,0.3689,Resting
302,W00007,0.05,0.8394,0.1346,0.3262,Resting
303,W00007,0.1,0.8367,0.106,0.3505,Resting
304,W00007,0.15,0.8686,0.0872,0.3397,Resting
305,W00007,0.2,0.8489,0.0725,0.3262,Resting
306,W00007,0.25,0.8368,0.1072,0.3418,Resting
307,W00007,0.3,0.8766,0.115,0.3433,Resting
308,W00007,0.35,0.8571,0.0793,0.3619,Resting
309,W00007,0.4,0.8589,0.0797,0.3679,Resting
310,W00007,0.45,0.8317,0.1021,0.3252,Resting
311,W00007,0.5,0.8523,0.1172,0.3387,Resting
312,W00007,0.55,0.8492,0.0977,0.3571,Resting
313,W00007,0.6,0.8567,0.0827,0.3698,Resting
314,W00007,0.65,0.8636,0.065,0.2974,Resting
315,W00007,0.7,0.8627,0.1326,0.3714,Resting
316,W00007,0.75,0.8433,0.1117,0.3425,Resting
317,W00007,0.8,0.8534,0.0755,0.3763,Resting
318,W00007,0.85,0.8166,0.1177,0.3372,Resting
319,W00007,0.9,0.8523,0.1123,0.329,Resting
320,W00007,0.95,0.8531,0.0876,0.3465,Resting
321,W00007,1.0,0.8317,0.0906,0.369,Resting
322,W00007,1.05,0.8242,0.1111,0.3463,Resting
323,W00007,1.1,0.8388,0.1303,0.2988,Resting
324,W00007,1.15,0.8161,0.1066,0.3597,Resting
325,W00007,1.2,0.8476,0.1098,0.3141,Resting
326,W00007,1.25,0.8472,0.1303,0.3269,Resting
327,W00007,1.3,0.8229,0.0721,0.3235,Resting
328,W00007,1.35,0.8435,0.1013,0.3102,Resting
329,W00007,1.4,0.8646,0.0982,0.3222,Resting
330,W00007,1.45,0.8653,0.1206,0.3278,Resting
331,W00007,1.5,0.8651,0.0741,0.3357,Resting
332,W00007,1.55,0.8428,0.1051,0.3472,Resting
333,W00007,1.6,0.8399,0.0717,0.3419,Resting
334,W00007,1.65,0.8398,0.1116,0.3194,Resting
335,W00007,1.7,0.8604,0.0935,0.3458,Resting
336,W00007,1.75,0.8966,0.0924,0.3693,Resting
337,W00007,1.8,0.8786,0.1202,0.3692,Resting
338,W00007,1.85,0.8832,0.0955,0.3533,Resting
339,W00007,1.9,0.8794,0.1018,0.3634,Resting
340,W00007,1.95,0.8211,0.0985,0.3692,Resting
341,W00007,2.0,0.8503,0.1004,0.379,Resting
342,W00007,2.05,0.8465,0.095,0.3861,Resting
343,W00007,2.1,0.881,0.0865,0.3461,Resting
344,W00007,2.15,0.8905,0.0937,0.3474,Resting
345,W00007,2.2,0.8442,0.0619,0.3825,Resting
346,W00007,2.25,0.8589,0.0991,0.3846,Resting
347,W00007,2.3,0.8699,0.1186,0.3844,Resting
348,W00007,2.35,0.8495,0.0762,0.307,Resting
349,W00007,2.4,0.8471,0.1113,0.3496,Resting
350,W00007,2.45,0.8465,0.0945,0.289,Resting
351,W00008,0.0,-0.1465,-0.052,0.4908,Running
352,W00008,0.05,-0.1072,-0.2228,0.6747,Running
353,W00008,0.1,-0.052,0.1854,0.7175,Running
354,W00008,0.15,0.2234,0.2274,0.8106,Running
355,W00008,0.2,0.3828,0.2794,0.8077,Running
356,W00008,0.25,0.6239,0.2638,1.2184,Running
357,W00008,0.3,0.7246,0.359,1.0317,Running
358,W00008,0.35,0.2845,0.2672,1.0722,Running
359,W00008,0.4,-0.0558,0.1758,0.9987,Running
360,W00008,0.45,-0.2428,-0.0623,1.1437,Running
361,W00008,0.5,-0.3972,0.1381,0.6332,Running
362,W00008,0.55,0.0656,-0.1101,0.7247,Running
363,W00008,0.6,0.1455,0.4097,0.7961,Running
364,W00008,0.65,0.487,-0.1376,1.2122,Running
365,W00008,0.7,0.7707,0.2775,0.9248,Running
366,W00008,0.75,0.2678,0.1495,1.0311,Running
367,W00008,0.8,0.1737,0.3499,0.9827,Running
368,W00008,0.85,-0.1743,-0.1047,0.8274,Running
369,W00008,0.9,-0.1542,0.3169,0.5266,Running
370,W00008,0.95,-0.0616,-0.188,0.7766,Running
371,W00008,1.0,0.0048,0.4224,0.6907,Running
372,W00008,1.05,0.233,0.2987,1.0934,Running
373,W00008,1.1,0.6124,0.3345,1.2098,Running
374,W00008,1.15,0.4202,0.4319,1.3195,Running
375,W00008,1.2,0.4982,0.6527,0.9242,Running
376,W00008,1.25,0.096,0.3562,0.9447,Running
377,W00008,1.3,-0.1177,-0.2249,0.9906,Running
378,W00008,1.35,-0.1848,0.2198,0.8214,Running
379,W00008,1.4,-0.0584,0.0819,0.5647,Running
380,W00008,1.45,0.1408,-0.1162,0.799,Running
381,W00008,1.5,0.2449,0.3547,1.0291,Running
382,W00008,1.55,0.3568,0.1539,0.901,Running
383,W00008,1.6,0.4951,0.3932,1.1284,Running
384,W00008,1.65,0.5659,0.3524,1.19,Running
385,W00008,1.7,0.3138,0.1157,0.9597,Running
386,W00008,1.75,0.1039,0.1995,0.6608,Running
387,W00008,1.8,-0.388,-0.115,0.4618,Running
388,W00008,1.85,-0.1609,0.0797,0.5946,Running
389,W00008,1.9,0.1083,0.0527,0.6927,Running
390,W00008,1.95,0.3507,0.2221,0.8016,Running
391,W00008,2.0,0.4904,0.6292,0.8414,Running
392,W00008,2.05,0.6161,0.3817,1.0979,Running
393,W00008,2.1,0.4818,0.1475,0.8093,Running
394,W00008,2.15,0.0813,0.1861,0.8437,Running
395,W00008,2.2,-0.1561,-0.0204,0.4869,Running
396,W00008,2.25,-0.4208,0.0402,0.8619,Running
397,W00008,2.3,-0.5184,0.0797,0.5973,Running
398,W00008,2.35,0.1551,0.1562,0.8906,Running
399,W00008,2.4,0.1777,0.2709,1.0423,Running
400,W00008,2.45,0.4866,0.2638,1.2464,Running
401,W00009,0.0,0.8569,0.1071,0.322,Resting
402,W00009,0.05,0.8105,0.0482,0.346,Resting
403,W00009,0.1,0.8299,0.0968,0.324,Resting
404,W00009,0.15,0.8559,0.0766,0.3381,Resting
405,W00009,0.2,0.8049,0.0838,0.3438,Resting
406,W00009,0.25,0.8326,0.0773,0.3273,Resting
407,W00009,0.3,0.8522,0.0603,0.3372,Resting
408,W00009,0.35,0.8065,0.1044,0.3357,Resting
409,W00009,0.4,0.8325,0.0421,0.3173,Resting
410,W00009,0.45,0.8418,0.0766,0.3384,Resting
411,W00009,0.5,0.8587,0.0827,0.3296,Resting
412,W00009,0.55,0.8157,0.1201,0.3062,Resting
413,W00009,0.6,0.8638,0.102,0.3362,Resting
414,W00009,0.65,0.8481,0.0718,0.3376,Resting
415,W00009,0.7,0.8664,0.0636,0.3316,Resting
416,W00009,0.75,0.8662,0.1186,0.3028,Resting
417,W00009,0.8,0.8502,0.1115,0.36,Resting
418,W00009,0.85,0.8537,0.1113,0.3586,Resting
419,W00009,0.9,0.8097,0.0551,0.3584,Resting
420,W00009,0.95,0.8181,0.0905,0.3524,Resting
421,W00009,1.0,0.8256,0.1185,0.3213,Resting
422,W00009,1.05,0.8394,0.0697,0.3494,Resting
423,W00009,1.1,0.8657,0.1082,0.329,Resting
424,W00009,1.15,0.8121,0.1067,0.3918,Resting
425,W00009,1.2,0.842,0.1134,0.3383,Resting
426,W00009,1.25,0.8227,0.1212,0.3626,Resting
427,W00009,1.3,0.8186,0.1372,0.3188,Resting
428,W00009,1.35,0.88,0.0986,0.3268,Resting
429,W00009,1.4,0.8532,0.08,0.3403,Resting
430,W00009,1.45,0.8846,0.0852,0.3656,Resting
431,W00009,1.5,0.8763,0.1253,0.3631,Resting
432,W00009,1.55,0.8348,0.0572,0.3585,Resting
433,W00009,1.6,0.8168,0.0839,0.3162,Resting
434,W00009,1.65,0.8959,0.1185,0.3764,Resting
435,W00009,1.7,0.847,0.0904,0.3358,Resting
436,W00009,1.75,0.8328,0.0941,0.3871,Resting
437,W00009,1.8,0.8701,0.1154,0.3926,Resting
438,W00009,1.85,0.8595,0.1039,0.3722,Resting
439,W00009,1.9,0.8439,0.1201,0.3759,Resting
440,W00009,1.95,0.8508,0.103,0.3313,Resting
441,W00009,2.0,0.8614,0.0958,0.4085,Resting
442,W00009,2.05,0.86,0.0936,0.3615,Resting
443,W00009,2.1,0.874,0.0836,0.3775,Resting
444,W00009,2.15,0.8521,0.1083,0.3405,Resting
445,W00009,2.2,0.8526,0.1146,0.3566,Resting
446,W00009,2.25,0.8716,0.0932,0.3343,Resting
447,W00009,2.3,0.866,0.1341,0.3534,Resting
448,W00009,2.35,0.8818,0.0879,0.3586,Resting
449,W00009,2.4,0.8549,0.0937,0.3635,Resting
450,W00009,2.45,0.858,0.0883,0.3863,Resting
451,W00010,0.0,0.0853,0.1252,0.9664,Standing
452,W00010,0.05,0.0449,0.0984,0.9543,Standing
453,W00010,0.1,0.021,0.0951,1.0121,Standing
454,W00010,0.15,-0.0076,0.1177,0.998,Standing
455,W00010,0.2,0.0137,0.1454,0.9625,Standing
456,W00010,0.25,0.0242,0.102,0.9816,Standing
457,W00010,0.3,0.0615,0.0628,1.0073,Standing
458,W00010,0.35,0.0845,0.0896,0.99,Standing
459,W00010,0.4,-0.0055,0.1025,0.9796,Standing
460,W00010,0.45,0.0713,0.054,0.9712,Standing
461,W00010,0.5,0.0336,0.1314,0.9859,Standing
462,W00010,0.55,0.0456,0.0852,0.9757,Standing
463,W00010,0.6,0.1412,0.123,1.0362,Standing
464,W00010,0.65,0.0501,0.1128,0.9442,Standing
465,W00010,0.7,0.0503,0.0966,0.9474,Standing
466,W00010,0.75,0.0914,0.1535,0.9451,Standing
467,W00010,0.8,0.0509,0.0863,0.9543,Standing
468,W00010,0.85,-0.0011,0.0813,0.9558,Standing
469,W00010,0.9,0.0875,0.1086,0.9465,Standing
470,W00010,0.95,0.0414,0.1233,0.9642,Standing
471,W00010,1.0,0.0508,0.0965,0.9443,Standing
472,W00010,1.05,0.0969,0.0657,0.9483,Standing
473,W00010,1.1,0.0395,0.1146,1.0001,Standing
474,W00010,1.15,0.0698,0.111,0.961,Standing
475,W00010,1.2,0.0453,0.1545,0.978,Standing
476,W00010,1.25,0.0402,0.0853,0.96,Standing
